Real GDP,Retail Sales,NET TRADE,Inflation (HICP/CPI),Unemployment rate,Interest rate 10 year government bond yield,Business Confidence Index,Stock Market Index,Consumer Confidence Index,Oil price,Industrial Production
501763.6,3.81188118811886,-3749500000.0,90.39,8.3,4.21,11.3,112.0622,-5.8,67.49,113.4
,,-4207000000.0,90.61,8.1,4.34,11.9,115.78,-1.8,67.21,116.1
,,-4408900000.0,90.72,8.0,4.62,11.2,115.0771,-1.4,71.05,115.8
503359.8,4.22604422604429,-4884300000.0,90.49,8.1,4.58,12.4,114.2116,-2.4,76.93,116.0
,,-4332500000.0,90.86,8.0,4.39,11.7,105.8525,-4.3,70.76,116.7
,,-4563000000.0,90.96,7.9,4.36,11.3,106.8182,-6.4,77.17,114.1
503928.1,3.70370370370376,-4186700000.0,91.19,7.7,4.4,11.5,110.7067,-7.1,82.34,116.8
,,-6036400000.0,91.69,7.5,4.23,10.7,105.8713,-11.2,92.41,114.5
,,-5395400000.0,92.03,7.3,4.35,8.8,106.4562,-9.9,90.93,114.8
508303.8,1.96926032660898,-4862300000.0,91.92,7.2,4.15,10.0,97.47723,-14.6,92.18,115.8
,,-4053900000.0,92.12,7.0,4.08,8.4,92.01046,-13.7,94.99,116.8
,,-5015900000.0,92.81,7.1,4.02,9.4,88.03221,-14.5,103.64,115.4
504460.1,1.1444921316166,-5120300000.0,93.12,7.3,4.27,9.2,93.04339,-15.6,109.07,118.1
,,-6140600000.0,93.62,7.3,4.41,6.3,95.62424,-17.7,122.8,112.4
,,-6667700000.0,93.96,7.4,4.73,5.1,88.99633,-20.6,132.32,112.3
503220.3,0.28288543140027,-6793400000.0,93.76,7.5,4.69,-0.4,81.34651,-19.9,132.72,113.0
,,-6443300000.0,93.73,7.5,4.4,-0.3,83.69379,-18.3,113.24,111.3
,,-6323100000.0,93.67,7.5,4.36,-1.7,80.19182,-17.2,97.23,111.0
496873.4,0.14097744360908,-6841300000.0,93.62,7.6,4.18,-9.4,65.51549,-19.8,71.58,109.0
,,-5745100000.0,93.18,7.8,3.98,-11.3,61.7864,-16.9,52.45,103.5
,,-3212300000.0,92.95,8.0,3.54,-16.7,59.87777,-18.3,39.95,102.3
487565.7,0.282618935468659,-4582500000.0,92.57,8.3,3.6,-20.0,58.65347,-18.0,43.44,98.0
,,-5163700000.0,92.92,8.6,3.68,-21.7,55.14827,-19.0,43.32,96.8
,,-4622300000.0,93.09,8.9,3.65,-26.8,51.5998,-20.0,46.54,95.0
488400.1,0.990099009900969,-4803500000.0,93.24,9.1,3.66,-27.8,57.11496,-15.6,50.18,95.0
,,-3591000000.0,93.38,9.2,3.8,-24.5,61.6219,-15.5,57.3,96.3
,,-4757500000.0,93.5,9.2,3.9,-21.0,61.73479,-14.0,68.61,97.5
489179.1,0.470145745181005,-3056800000.0,93.08,9.1,3.73,-17.1,61.24561,-13.4,64.44,97.1
,,-4014100000.0,93.56,9.2,3.59,-14.0,67.56683,-15.8,72.51,98.5
,,-3853700000.0,93.33,9.3,3.59,-11.3,71.49778,-11.6,67.65,99.3
492753.0,1.3608634443923,-4970500000.0,93.42,9.5,3.56,-10.1,72.6264,-10.4,72.77,98.5
,,-6450600000.0,93.55,9.6,3.56,-10.3,71.7636,-8.5,76.66,99.6
,,-6093400000.0,93.8,9.5,3.48,-7.8,73.43678,-9.0,74.46,99.2
494376.4,1.97275716298737,-4169600000.0,93.59,9.5,3.52,-4.6,75.07339,-8.2,76.17,99.9
,,-4343900000.0,94.11,9.4,3.5,-4.7,70.93764,-10.6,73.75,99.4
,,-5145000000.0,94.57,9.3,3.44,-5.0,75.48194,-12.6,78.83,101.4
496650.1,2.75443510737627,-5458500000.0,94.81,9.3,3.4,-1.7,76.90999,-12.3,84.82,101.0
