Date,Real GDP growth,Retail Sales,NET TRADE,Inflation (HICP/CPI),Unemployment rate,Interest rate 10 year government bond yield,Business Confidence Index,Stock Market Index,Consumer Confidence Index,Oil price,Industrial Production
2011-05-01,,,-1856900000.0,103.4764,17.4,15.94,-29.3,180.4032,-65.1,114.99,92.9
2011-06-01,,,-2095600000.0,103.254,17.2,16.69,-28.1,170.7318,-72.5,113.83,89.0
2011-07-01,50281.6,-5.22867644949886,-2038100000.0,101.8234,18.0,16.15,-28.0,166.3987,-72.6,116.97,94.8
2011-08-01,,,-2203200000.0,100.3965,19.3,15.9,-21.3,134.3644,-66.3,110.22,90.6
2011-09-01,,,-1762700000.0,103.7233,18.9,17.78,-23.8,114.6918,-66.5,112.83,95.5
2011-10-01,48023.3,-9.96453540756116,-1798100000.0,103.8321,20.6,18.04,-27.1,102.7342,-78.1,109.55,87.7
2011-11-01,,,-1783000000.0,103.9914,20.8,17.92,-30.4,97.54171,-78.5,110.77,90.5
2011-12-01,,,-1769600000.0,103.8931,21.3,21.14,-33.9,90.34822,-79.0,107.87,85.7
2012-01-01,47582.8,-12.7323703415814,-1845300000.0,103.0586,21.6,25.91,-35.7,92.62625,-74.8,110.69,89.1
2012-02-01,,,-1633700000.0,101.4976,22.4,29.24,-32.9,106.1471,-81.3,119.33,87.6
2012-03-01,,,-2288600000.0,104.3711,22.9,19.06,-32.2,101.8424,-77.7,125.45,87.3
2012-04-01,46453.2,-11.5969681489555,-1774200000.0,105.2576,23.7,21.48,-29.2,95.95682,-76.7,119.75,88.1
2012-05-01,,,-1567200000.0,104.9159,24.0,26.9,-29.7,78.4987,-75.0,110.34,90.4
2012-06-01,,,-1871000000.0,104.599,25.3,27.82,-40.4,73.7089,-71.1,95.16,88.9
2012-07-01,45780.8,-11.0555510630071,-1524100000.0,103.1868,25.5,25.82,-41.0,82.79533,-67.1,102.62,90.9
2012-08-01,,,-1913500000.0,102.1447,25.9,24.34,-37.4,84.44913,-64.6,113.36,91.1
2012-09-01,,,-1190500000.0,104.6615,26.5,20.91,-34.8,98.50777,-71.1,112.86,89.0
2012-10-01,45305.4,-13.8858545850417,-1748600000.0,105.5182,26.2,17.96,-37.1,112.4002,-75.0,111.71,90.4
2012-11-01,,,-1601900000.0,105.0034,27.0,17.2,-32.1,109.7682,-74.5,109.06,87.6
2012-12-01,,,-1574500000.0,104.7285,26.7,13.33,-26.5,117.013,-76.2,109.49,86.4
2013-01-01,44980.1,-11.6660343835196,-1828600000.0,103.2715,27.3,11.1,-26.4,131.958,-72.4,112.96,86.4
2013-02-01,,,-1890600000.0,101.5677,27.3,10.95,-22.0,137.291,-70.5,116.05,84.9
2013-03-01,,,-1472700000.0,104.154,27.6,11.38,-22.3,126.2738,-71.0,108.47,86.9
2013-04-01,45034.4,-8.64158039067683,-1315800000.0,104.6316,28.0,11.58,-21.1,122.9837,-72.5,102.25,88.4
2013-05-01,,,-1403700000.0,104.447,27.9,9.07,-14.0,141.3863,-65.9,102.56,86.8
2013-06-01,,,-1638500000.0,104.1973,27.9,10.07,-4.0,122.2568,-70.5,102.92,90.9
2013-07-01,45312.0,-9.46532207903159,-1418000000.0,102.4746,28.3,10.53,-6.6,113.2933,-70.2,107.93,84.3
2013-08-01,,,-1579700000.0,100.8392,27.7,10.01,-5.4,124.8267,-71.9,111.28,85.7
2013-09-01,,,-1521800000.0,103.4893,28.2,10.15,-9.4,132.9173,-71.6,111.6,86.7
2013-10-01,45535.2,-1.32749107801448,-1743200000.0,103.4199,27.8,8.74,-5.8,152.6927,-66.5,109.08,85.5
2013-11-01,,,-1436800000.0,102.0072,27.8,8.41,-8.8,156.4488,-67.6,107.79,82.7
2013-12-01,,,-1421600000.0,102.9378,27.7,8.66,-5.6,157.2636,-65.9,110.76,85.4
2014-01-01,45440.7,-2.42890430274233,-1591900000.0,101.7531,27.3,8.18,0.6,165.0367,-65.0,108.12,83.6
2014-02-01,,,-1617400000.0,100.4,27.6,7.7,1.7,170.244,-63.8,108.9,85.4
2014-03-01,,,-1421600000.0,102.7501,27.0,6.9,0.5,180.7951,-55.6,107.48,83.8
2014-04-01,45486.3,-0.111227789992217,-1682300000.0,103.2216,27.3,6.2,3.2,170.0927,-54.2,107.76,85.8
2014-05-01,,,-1796700000.0,102.4,27.2,6.38,2.8,159.574,-52.1,109.54,90.5
2014-06-01,,,-1367300000.0,103.0598,26.5,5.93,16.0,171.2101,-49.1,111.8,84.2
2014-07-01,45935.1,1.29910430767299,-1879200000.0,101.7776,26.5,6.1,13.7,160.9819,-45.9,106.77,83.4
2014-08-01,,,-1453700000.0,100.5401,26.4,6.09,18.4,152.0049,-49.0,101.61,82.3
2014-09-01,,,-1841800000.0,102.62,26.1,5.89,7.4,153.5601,-56.0,97.09,83.4
2014-10-01,45585.8,-0.165036603346342,-1674200000.0,101.6864,26.1,7.26,8.3,132.0688,-48.9,87.43,85.6
2014-11-01,,,-1680500000.0,100.7359,25.7,8.1,13.3,126.3521,-45.0,79.44,85.2
2014-12-01,,,-1698500000.0,100.2543,25.9,8.42,10.2,120.3368,-51.4,62.34,83.0
2015-01-01,45777.8,0.510613913232793,-1315900000.0,98.8664,25.6,9.48,8.0,106.9376,-51.1,47.76,84.2
2015-02-01,,,-1480400000.0,98.23171,25.8,9.72,5.8,114.4999,-35.6,58.1,87.1
2015-03-01,,,-1638800000.0,100.5494,26.2,10.52,-0.2,107.1524,-30.2,55.89,87.2
2015-04-01,45676.4,0.493664008927649,-1737800000.0,101.0469,25.2,12.0,-2.0,103.2435,-43.4,59.52,86.6
2015-05-01,,,-1420100000.0,100.1993,25.0,10.95,-7.5,112.0233,-43.9,64.08,82.5
2015-06-01,,,-1370300000.0,100.8376,24.9,11.43,-3.5,104.2015,-48.0,61.48,81.5
2015-07-01,44735.8,-4.5564044481702,-663400000.0,99.50778,24.9,,-28.9,107.7563,-52.8,56.56,83.2
2015-08-01,,,-1134300000.0,99.07301,24.6,10.26,-45.3,88.63227,-65.0,46.52,86.4
2015-09-01,,,-1320600000.0,100.8563,24.7,8.54,-17.1,90.05908,-66.4,47.62,86.2
2015-10-01,45812.4,-2.13005396632753,-1345800000.0,100.7536,24.6,7.81,-17.1,93.11671,-60.6,48.43,85.3
2015-11-01,,,-1559400000.0,99.99141,24.4,7.41,-16.4,90.16312,-64.4,44.27,88.1
2015-12-01,,,-1425300000.0,100.0865,24.1,8.21,-13.3,82.21434,-58.3,38.01,90.7
